Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827_EGFR	Q5T9A4	ATAD3B	160|144|188|214	706	176.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	209.24	1765.00	0.00	
HCC827_EGFR	Q9NVI7	ATAD3A	160|144|188|214	706	176.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	209.24	1765.00	0.00	
HCC827_EGFR	Q5T2N8	ATAD3C	160|144|188|214	706	176.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	209.24	1765.00	0.00	
HCC827_EGFR	P08727	KRT19	141|140|272|51834	52387	13096.75	4	352|323|357|373	0.25	1.00	0.25	1.00	0.25	-inf	37.29	0.31	
HCC827_EGFR	P05783	KRT18	17729|18107|0|16194	52030	13007.50	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	130075.00	0.00	
HCC827_EGFR	P0CG39	POTEJ	36210|43553|50052|64229	62972	15743.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	157430.00	0.00	
HCC827_EGFR	O43196	MSH5	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P63173	RPL38	43392|39315|27581|24953	4169	1042.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	10422.50	0.00	
HCC827_EGFR	Q6URK8	TEPP	21669|22382|26464|61731	1174	293.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	2935.00	0.00	
HCC827_EGFR	Q99456	KRT12	0|0|241|262	503	125.75	4	296|278|280|315	0.00	0.00	0.00	0.00	0.00	-inf	0.43	0.46	
HCC827_EGFR	P19012	KRT15	0|0|12480|30569	43049	10762.25	4	1836|45336|10939|18040	0.25	1.00	0.25	1.00	0.25	-inf	4.06	0.42	
HCC827_EGFR	Q04695	KRT17	0|0|12480|30569	43049	10762.25	4	1836|45336|10939|18040	0.25	1.00	0.25	1.00	0.25	-inf	4.06	0.42	
HCC827_EGFR	A6NNZ2	NA	41475|45686|189|16384	38198	9549.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	272.76	95495.00	0.00	
